,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
abyss,0.18749996361277405,0.020833333383428573,0.020833333392073276,0.0208333334806303,0.020833333388650923,0.02084619495197001,0.020833333387607844,0.6874871744028649
acceded,0.06250000003812228,0.06250000010733922,0.06250000012574364,0.06250000031530609,0.06250000011846649,0.06250000006468305,0.06250000011624761,0.5624999991140915
accelerated,0.04166666669597453,0.0416666667492817,0.041666666763479625,0.04166666690951691,0.041666666757861785,0.041666666716439274,0.3750002242248898,0.37499977518255634
accent,0.375000048549664,0.041666666771231785,0.04166666678930249,0.041666666974240096,0.04166666678217168,0.041666666729748725,0.04166666678008817,0.374999950623553
accentuated,0.2249998840804223,0.22500016551632457,0.2250001980679171,0.02500000021444803,0.025000000080482983,0.025000000043951143,0.025000000078960687,0.22499975191749333
accept,0.21249993662916702,0.21250022822856104,0.012500000044387309,0.012500000111359065,0.11250006499683246,0.14759759816615295,0.01250000004101366,0.27740217178252646
acceptance,0.562499999588452,0.06250000005080945,0.06250000005964192,0.06250000014938498,0.06250000005615673,0.062500000030657,0.06250000005508795,0.06250000000981003
accepted,0.261453261445262,0.17361130206481928,0.006944444468341501,0.006944444504387687,0.06250000481243764,0.11805555494368603,0.06250000423772313,0.30799098352334286
accepting,0.041666666687527595,0.04166666672546884,0.04166666673555722,0.04166666683946582,0.041666666731568255,0.04166666670208688,0.04166666673035197,0.7083333328479735
accessories,0.5624999994726286,0.06250000006509,0.06250000007642637,0.06250000019152394,0.0625000000719273,0.06250000003928717,0.06250000007059117,0.06250000001252534
accident,0.06250000000591627,0.06250000001666006,0.06250000001955255,0.06250000004904599,0.06250000001840293,0.0625000000100526,0.5624999998771517,0.06250000000321784
accidentally,0.06250000000591627,0.06250000001666006,0.06250000001955255,0.06250000004904599,0.06250000001840293,0.0625000000100526,0.5624999998771517,0.06250000000321784
accidents,0.031250000024886766,0.2812501663209271,0.03125000008238963,0.031250000206442155,0.031250000077515785,0.28125004678556326,0.03125000007615244,0.28124978642612286
accompanied,0.3906250590813388,0.0156250000472144,0.01562500005530253,0.01562500013875519,0.14062510656054944,0.21365801410284166,0.01562500005111378,0.19259181996288402
accompaniment,0.06250000003374016,0.06250000009487813,0.06250000011143321,0.06250000027895809,0.0625000001048479,0.06250000005728822,0.06250000010306578,0.5624999992157885
